_id,additional,firstName,lastName,role,fullName,occupation
653c3296008065850286c019,,Ludwig van,Beethoven,Musik,Ludwig van Beethoven,Schauspieler
6654bac62ab4d9095f692b2d,Gastspielerin vom Stadttheater Breslau,Julie,Behre,"Johanna, seine Tochter",Julie Behre,Schauspieler
6504166ba47588ad6024bcdf,,Dr. Leo,Bei,Kostüme,Dr. Leo Bei,Schauspieler
690c5d6852365fce4c98774d,,Floy,Bell,Assistant Manager,Floy Bell,Schauspieler
6504166ba47588ad6024a5bf,,Emilie,Bella,Ein Mädchen,Emilie Bella,Schauspieler
6504166ba47588ad6024a5c1,,Marie,Bella,"Fritz, deren Kind",Marie Bella,Schauspieler
6504166ba47588ad6024b2b4,,Roderich,Benedix,,Roderich Benedix,Schauspieler
6504166ba47588ad6024a5cc,1832-1872,Ludowika,Benedix,"Eulalie, dessen Frau",Ludowika Benedix,Schauspieler
691205e3dd3949980ba0dc4a,,Vera,Benlian,Refugees and Conveeners,Vera Benlian,Schauspieler
6504166ba47588ad6024a5b7,,Regina,Berg,Fritz,Regina Berg,Schauspieler
6504166ba47588ad6024a5b6,,Ottilie,Berg,Mademoiselle Dangeville,Ottilie Berg,Schauspieler
6504166ba47588ad6024b2ba,Pseud. f. Marie Gordon,Alexander,Bergen,Deutsch,Alexander Bergen,Schauspieler
6504166ba47588ad6024a5ca,,Josef,Berger,Hauptmann,Josef Berger,Schauspieler
6504166ba47588ad6024a5c8,,Fritz,Berger,Goldoni,Fritz Berger,Schauspieler
6504166ba47588ad6024b2bb,,Alfred von,Berger,Diener des Marschalls,Alfred von Berger,Schauspieler
6504166ba47588ad6024b2bc,,Carl Philipp,Berger,2. Ressourcengast,Carl Philipp Berger,Schauspieler
6504166ba47588ad6024a5c6,,Alois,Berger,Ein Arbeiter,Alois Berger,Schauspieler
6504166ba47588ad6024a5d5,,Erika,Berghöfer,"Szene aus Alfred Farau's Drama ""Franz Grillparzer""",Erika Berghöfer,Schauspieler
6504166ba47588ad6024bf26,,Martin,Bergmann,Bambergischer Reiter,Martin Bergmann,Schauspieler
6504166ba47588ad6024a5dc,,Wilhelm,Bergmann,1. Reiter,Wilhelm Bergmann,Schauspieler
6504166ba47588ad6024b2bf,1742- 1804,Johann Baptist,Bergopzoom,Rota,Johann Baptist Bergopzoom,Schauspieler
6504166ba47588ad6024a5ec,,Marga,Bernard (Schwarzacher),Eine andere Mutter,Marga Bernard (Schwarzacher),Schauspieler
6504166ba47588ad6024a5f4,,Herta,Berndt,Annelieses Sternchen,Herta Berndt,Schauspieler
6504166ba47588ad6024b2cb,,Julius,Berstl,Samuel,Julius Berstl,Schauspieler
6504166ba47588ad6024a5da,,Edith,Bertschinger,4. Mädchen,Edith Bertschinger,Schauspieler
6504166ba47588ad6024a5e4,1897-1959,Ulrich,Bettac,König Prusias,Ulrich Bettac,Schauspieler
6504166ba47588ad6024a5f1,,Therese,Biedermann,Blutiges Kind,Therese Biedermann,Schauspieler
6504166ba47588ad6024a5f5,,Albert,Biesantz,Lucianus,Albert Biesantz,Schauspieler
6504166ba47588ad6024a603,1937-1939,Julia,Binder,Junges Weib in Moskau,Julia Binder,Schauspieler
6504166ba47588ad6024a602,,Fräulein,Binder,Belinde,Fräulein Binder,Schauspieler
6504166ba47588ad6024b62f,"pseudonym: Waldherr, Willibald",Charlotte,Birch-Pfeiffer,,Charlotte Birch-Pfeiffer,Schauspieler
